2020-09-11T09:53:54.145-05:00[America/Chicago]  Failure
2020-09-11T09:53:57.070-05:00[America/Chicago]  Failure
2020-09-28T20:55:08.600-05:00[America/Chicago] test Success
2020-09-28T20:59:52.647-05:00[America/Chicago] test Success
2020-09-28T21:02:54.951-05:00[America/Chicago] test Success
2020-09-28T21:04:25.121-05:00[America/Chicago] test Success
2020-09-28T21:05:51.182-05:00[America/Chicago] test Success
2020-09-28T21:09:15.710-05:00[America/Chicago] test Success
2020-09-28T21:15:37.546-05:00[America/Chicago] test Success
2020-09-28T21:17:22.595-05:00[America/Chicago] test Success
2020-09-28T21:18:23.035-05:00[America/Chicago] test Success
2020-09-28T21:48:55.830-05:00[America/Chicago] test Success
2020-09-28T21:52:59.212-05:00[America/Chicago] test Success
2020-09-28T21:58:11.827-05:00[America/Chicago] test Success
2020-09-28T21:59:52.689-05:00[America/Chicago] test Success
2020-09-28T22:01:32.673-05:00[America/Chicago] test Success
2020-09-28T22:03:55.669-05:00[America/Chicago] test Success
2020-09-28T22:22:29.819-05:00[America/Chicago] test Success
2020-09-28T22:24:04.361-05:00[America/Chicago] test Success
2020-09-28T22:24:25.023-05:00[America/Chicago]  Failure
2020-09-28T22:24:30.379-05:00[America/Chicago] test Success
2020-09-28T22:29:28.551-05:00[America/Chicago] test Success
2020-09-28T22:31:45.586-05:00[America/Chicago]  Failure
2020-09-28T22:31:50.343-05:00[America/Chicago] test Failure
2020-09-28T22:31:53.554-05:00[America/Chicago] test Success
2020-09-28T22:32:57.432-05:00[America/Chicago] test Success
2020-09-28T22:33:02.137-05:00[America/Chicago] test Success
2020-09-28T22:33:35.734-05:00[America/Chicago] test Success
2020-09-28T22:51:28.150-05:00[America/Chicago] test Success
2020-09-29T08:45:29.443-05:00[America/Chicago] test Success
2020-09-29T08:46:11.954-05:00[America/Chicago] test Success
2020-09-29T08:47:27.346-05:00[America/Chicago] test Success
2020-09-29T08:47:37.780-05:00[America/Chicago] test Success
2020-09-29T08:48:32.311-05:00[America/Chicago] test Success
2020-09-29T16:32:44.418-05:00[America/Chicago]  Failure
2020-09-29T16:32:48.897-05:00[America/Chicago] test Success
2020-09-29T16:34:31.348-05:00[America/Chicago] test Success
2020-09-29T16:35:44.742-05:00[America/Chicago] test Success
2020-09-29T16:37:20.723-05:00[America/Chicago] test Success
2020-09-29T16:39:17.366-05:00[America/Chicago] test Success
2020-09-29T16:43:18.985-05:00[America/Chicago] test Success
2020-09-29T16:46:25.896-05:00[America/Chicago] test Success
2020-09-29T16:48:07.963-05:00[America/Chicago] test Success
2020-09-29T16:48:46.993-05:00[America/Chicago] test Success
2020-09-29T16:49:21.991-05:00[America/Chicago] test Success
2020-09-29T16:50:21.054-05:00[America/Chicago] test Success
2020-09-29T16:51:59.811-05:00[America/Chicago] test Success
2020-09-29T16:55:54.369-05:00[America/Chicago] test Success
2020-09-30T15:12:23.877-05:00[America/Chicago] test Failure
2020-09-30T15:12:27.428-05:00[America/Chicago] test Success
2020-09-30T18:07:36.071-05:00[America/Chicago] test Success
2020-09-30T18:10:38.310-05:00[America/Chicago] test Success
2020-09-30T18:11:46.508-05:00[America/Chicago] test Success
2020-09-30T18:17:41.107-05:00[America/Chicago] test Success
2020-09-30T18:18:41.614-05:00[America/Chicago] test Success
2020-09-30T18:20:17.675-05:00[America/Chicago] test Success
2020-09-30T18:21:58.100-05:00[America/Chicago] test Success
2020-09-30T18:29:16.938-05:00[America/Chicago] test Success
2020-09-30T18:30:24.160-05:00[America/Chicago] test Success
2020-09-30T18:32:20.100-05:00[America/Chicago] test Success
2020-09-30T18:33:36.556-05:00[America/Chicago] test Success
2020-09-30T18:35:14.458-05:00[America/Chicago] test Success
2020-09-30T18:37:27.292-05:00[America/Chicago] test Success
2020-09-30T18:38:15.669-05:00[America/Chicago] test Success
2020-09-30T18:38:55.988-05:00[America/Chicago] test Success
2020-09-30T18:39:54.356-05:00[America/Chicago] test Success
2020-09-30T18:42:03.620-05:00[America/Chicago] test Success
2020-09-30T18:43:16.439-05:00[America/Chicago] test Success
2020-09-30T18:50:24.489-05:00[America/Chicago] test Success
2020-09-30T19:03:36.700-05:00[America/Chicago] test Failure
2020-09-30T19:04:12.539-05:00[America/Chicago] test Failure
2020-09-30T19:37:31.421-05:00[America/Chicago]  Failure
2020-09-30T21:21:51.733-05:00[America/Chicago]  Failure
2020-09-30T21:22:06.243-05:00[America/Chicago] test Success
2020-09-30T21:22:22.222-05:00[America/Chicago] test Success
2020-09-30T21:31:38.318-05:00[America/Chicago] test Success
2020-09-30T21:31:42.737-05:00[America/Chicago]  Failure
